photo,correct_classification,classical_2,score
WIN_20220701_14_33_18_Pro_jpg.rf.7gy59lP27sUlLgC1DpZ4.jpg,1,0,0.0
WIN_20220701_14_33_31_Pro_jpg.rf.v8ErefkqeyIHfYxG72ak.jpg,1,0,0.0
WIN_20220701_14_36_32_Pro_jpg.rf.OtdQkmWtNrcgg5gEhzzq.jpg,3,2,0.0
WIN_20220701_14_45_35_Pro_jpg.rf.QfSHJIGYD1VjD2OEjJ0q.jpg,0,3,0.0
WIN_20220701_14_46_41_Pro_jpg.rf.ef1pd4UDlZosFyVb1XIz.jpg,0,2,0.0
WIN_20220701_14_46_53_Pro_jpg.rf.Y3emC0inmEZQ4cTynS1P.jpg,0,2,0.0
WIN_20220701_14_46_58_Pro_jpg.rf.KWVVOEKgG9mLIwjtg1Cw.jpg,0,2,0.0
WIN_20220701_14_49_02_Pro_jpg.rf.ZuzOXKo4IpM62BNcU8xJ.jpg,1;3,3,0.5
WIN_20220701_14_50_36_Pro_jpg.rf.KiRo24HKXhIGFxzguCiq.jpg,3;1,3,0.5
WIN_20220701_14_51_37_Pro_jpg.rf.0P57DLPI0a8CJ3FiiETX.jpg,3,0,0.0
WIN_20220701_14_51_47_Pro_jpg.rf.iNLPCKYMqohErwF68qYG.jpg,0;3,3,0.5
WIN_20220701_14_52_01_Pro_jpg.rf.J73EPhR7YYeAnNeMtIiV.jpg,0;3,3,0.5
WIN_20220701_14_52_08_Pro_jpg.rf.0pQoUppKoOtLOV8oTvfM.jpg,0;3,3,0.5
WIN_20220701_14_52_15_Pro_jpg.rf.hlzA07fOwTP2dG5VHZWQ.jpg,0;3,3,0.5
WIN_20220701_14_53_37_Pro_jpg.rf.ld2Za8OPFnYPm791W0js.jpg,0,3,0.0
WIN_20220701_14_53_48_Pro_jpg.rf.TpwDqE6SdCSXGscFshRV.jpg,0,2,0.0
WIN_20220701_14_54_11_Pro_jpg.rf.k8CFRKF2NpAoqK4ty2jt.jpg,0,2,0.0
WIN_20220701_14_54_20_Pro_jpg.rf.OjmnxwAcH6twTveR8oQ9.jpg,0,3,0.0
WIN_20220701_14_54_29_Pro_jpg.rf.6Hlp4BBnSqNFZfbkIiiL.jpg,0,2,0.0
WIN_20220701_14_55_04_Pro_jpg.rf.tHiwZpvwK1CGc5l2h5QD.jpg,1,0,0.0
WIN_20220701_14_55_12_Pro_jpg.rf.mCtOzKdRp94wNFXF2UcB.jpg,1,3,0.0
WIN_20220701_14_55_19_Pro_jpg.rf.ozrA09DapCp1fgk2PHVN.jpg,3,0,0.0
WIN_20220701_14_55_32_Pro_jpg.rf.DJBLRuZKiQf254NDKVg4.jpg,1,0,0.0
WIN_20220701_14_58_52_Pro_jpg.rf.NFtJ77f56a34EgD4wHxd.jpg,3,0,0.0
WIN_20220701_14_59_00_Pro_jpg.rf.Lj8gcmW5jGSjgZ1eFeXT.jpg,3;1,0,0.0
WIN_20220701_14_59_08_Pro_jpg.rf.3ps2gRj5hLYohuQCg83Q.jpg,1;3,2,0.0
WIN_20220701_14_59_15_Pro_jpg.rf.yZie3LRYGVcDwz85Uqnd.jpg,3;1,3,0.5
WIN_20220701_15_10_51_Pro_jpg.rf.LUKu6XfOmbEtjVEGCiaj.jpg,3;1,3,0.5
WIN_20220701_15_11_04_Pro_jpg.rf.WYCKKEPtsUzxtdO1gKMB.jpg,1;3,3,0.5
WIN_20220701_15_11_30_Pro_jpg.rf.B2KJlydwTMZDX5CeqQMJ.jpg,3;1,0,0.0
WIN_20220701_15_11_46_Pro_jpg.rf.KohC3b5BwKamW9YvGbG3.jpg,3;1,0,0.0
WIN_20220701_15_12_22_Pro_jpg.rf.gEmS9sr8xouRegG7C8jS.jpg,3;1,2,0.0
WIN_20220701_15_13_06_Pro_jpg.rf.xMW5HhZhB1z222CNEU8m.jpg,1;3;1,2,0.0
WIN_20220701_15_15_09_Pro_jpg.rf.nmkKgbtd416kxkMVGIlu.jpg,3,2,0.0
WIN_20220701_15_15_18_Pro_jpg.rf.kn90VKkZ4qeag5D6vfYF.jpg,3,2,0.0
WIN_20220701_15_16_56_Pro_jpg.rf.uHCYQg01Ytd7UgJRdXnq.jpg,0,2,0.0
