photo,correct_classification,classical_2,score
WIN_20220701_14_33_18_Pro_jpg.rf.7gy59lP27sUlLgC1DpZ4.jpg [aug#2],1,0,0.0
WIN_20220701_14_33_31_Pro_jpg.rf.v8ErefkqeyIHfYxG72ak.jpg [aug#1],1,0,0.0
WIN_20220701_14_33_31_Pro_jpg.rf.v8ErefkqeyIHfYxG72ak.jpg [aug#2],1,0,0.0
WIN_20220701_14_36_32_Pro_jpg.rf.OtdQkmWtNrcgg5gEhzzq.jpg [aug#1],3,0,0.0
WIN_20220701_14_36_32_Pro_jpg.rf.OtdQkmWtNrcgg5gEhzzq.jpg [aug#2],3,0,0.0
WIN_20220701_14_39_32_Pro_jpg.rf.xx1DpwWR2tfSvjgWvSXg.jpg [aug#1],3,2,0.0
WIN_20220701_14_39_57_Pro_jpg.rf.sxDTRfxThYWD26ChWX9A.jpg [aug#2],3,4,0.0
WIN_20220701_14_40_15_Pro_jpg.rf.yYYgMjb0wAR6pwydYqyj.jpg [aug#1],3,0,0.0
WIN_20220701_14_40_15_Pro_jpg.rf.yYYgMjb0wAR6pwydYqyj.jpg [aug#2],3,0,0.0
WIN_20220701_14_41_28_Pro_jpg.rf.3MMHtFjezHu1TrKdOxpI.jpg [aug#1],3,2,0.0
WIN_20220701_14_41_28_Pro_jpg.rf.3MMHtFjezHu1TrKdOxpI.jpg [aug#2],3,0,0.0
WIN_20220701_14_43_49_Pro_jpg.rf.wH8ZxV8DqdnSlv9QBTvz.jpg [aug#2],3,0,0.0
WIN_20220701_14_44_09_Pro_jpg.rf.x23kGPzRNCCRxarKTPTR.jpg [aug#2],3,2,0.0
WIN_20220701_14_44_18_Pro_jpg.rf.NhnHYAexHHkuun9ERDRh.jpg [aug#1],3,0,0.0
WIN_20220701_14_44_27_Pro_jpg.rf.YlMQdxERuCFFdDs6GFwv.jpg [aug#1],3,0,0.0
WIN_20220701_14_44_27_Pro_jpg.rf.YlMQdxERuCFFdDs6GFwv.jpg [aug#2],3,0,0.0
WIN_20220701_14_44_57_Pro_jpg.rf.8L3kBiA9xP3FWTuqAg4U.jpg [aug#1],3,2,0.0
WIN_20220701_14_44_57_Pro_jpg.rf.8L3kBiA9xP3FWTuqAg4U.jpg [aug#2],3,1,0.0
WIN_20220701_14_45_03_Pro_jpg.rf.kVUkWUT7TRqRGW9Du1Lj.jpg [aug#2],0,2,0.0
WIN_20220701_14_45_21_Pro_jpg.rf.llxX6G7kc67yFWIhfhtL.jpg [aug#1],0,1,0.0
WIN_20220701_14_45_21_Pro_jpg.rf.llxX6G7kc67yFWIhfhtL.jpg [aug#2],0,2,0.0
WIN_20220701_14_45_35_Pro_jpg.rf.QfSHJIGYD1VjD2OEjJ0q.jpg [aug#1],0,2,0.0
WIN_20220701_14_45_35_Pro_jpg.rf.QfSHJIGYD1VjD2OEjJ0q.jpg [aug#2],0,3,0.0
WIN_20220701_14_46_41_Pro_jpg.rf.ef1pd4UDlZosFyVb1XIz.jpg [aug#1],0,2,0.0
WIN_20220701_14_46_53_Pro_jpg.rf.Y3emC0inmEZQ4cTynS1P.jpg [aug#2],0,1,0.0
WIN_20220701_14_46_58_Pro_jpg.rf.KWVVOEKgG9mLIwjtg1Cw.jpg [aug#1],0,1,0.0
